City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Buesaco,CO,2022-04-07 17:45:52,1.3902,-77.1598,68.25,78,75,6.91
133,Half Moon Bay,US,2022-04-07 17:45:43,37.4636,-122.4286,85.62,40,0,1.01
134,Nisia Floresta,BR,2022-04-07 17:45:53,-6.0911,-35.2086,88.61,65,82,11.36
135,Chokurdakh,RU,2022-04-07 17:46:53,70.6333,147.9167,-22.22,92,53,4.7
136,Pringsewu,ID,2022-04-07 17:46:54,-5.3582,104.9744,73.71,91,97,5.26
137,Altay,CN,2022-04-07 17:46:55,47.8667,88.1167,47.89,48,40,8.88
138,Tecoanapa,MX,2022-04-07 17:46:55,16.5167,-98.75,82.24,62,100,9.84
139,Khandbari,NP,2022-04-07 17:46:56,27.3747,87.2039,69.44,74,68,2.98
140,Ojo De Agua,HN,2022-04-07 17:46:56,14.0167,-86.35,98.37,27,86,4.07
141,Altea,ES,2022-04-07 17:46:57,38.5989,-0.0514,66.38,61,0,8.01
142,Kavieng,PG,2022-04-07 17:46:57,-2.5744,150.7967,79.92,82,100,4.47
143,Lasa,IT,2022-04-07 17:46:58,46.6166,10.7002,50.88,98,98,3.69
144,Lata,PT,2022-04-07 17:46:58,40.1629,-8.3327,58.82,65,23,8.1
145,Staraya Toropa,RU,2022-04-07 17:46:58,56.2801,31.6702,41.76,98,100,7.63
146,Kibala,TD,2022-04-07 17:46:59,9.1104,18.3463,93.15,38,0,4.61
147,Hay River,CA,2022-04-07 17:46:59,60.8156,-115.7999,42.78,39,40,9.22
148,Anloga,GH,2022-04-07 17:47:00,5.7947,0.8973,83.61,79,26,16.17
149,Leningradskiy,RU,2022-04-07 17:47:00,69.3833,178.4167,-6.0,97,100,11.16
150,Aktau,KZ,2022-04-07 17:47:01,43.65,51.2,48.78,50,99,12.66
151,Port Alfred,ZA,2022-04-07 17:47:01,-33.5906,26.891,59.18,77,31,5.99
152,Bluff,NZ,2022-04-07 17:47:01,-46.6,168.3333,55.83,79,82,26.66
153,Entebbe,UG,2022-04-07 17:47:02,0.0644,32.4469,75.52,64,0,11.5
154,San Quintin,MX,2022-04-07 17:47:02,30.4833,-115.95,76.57,39,3,6.38
155,Troitskoye,RU,2022-04-07 17:47:04,52.9821,84.6757,35.04,90,100,5.77
156,Quthing,LS,2022-04-07 17:47:05,-30.4,27.7003,51.73,45,15,1.34
157,Sao Filipe,CV,2022-04-07 17:47:05,14.8961,-24.4956,72.46,76,3,11.56
158,Petropavl,KZ,2022-04-07 17:47:06,54.8753,69.1628,38.39,86,100,11.21
159,Portland,US,2022-04-07 17:43:40,45.5234,-122.6762,66.06,36,91,13.0
160,Souillac,MU,2022-04-07 17:47:07,-20.5167,57.5167,79.18,83,40,10.36
161,Hofn,IS,2022-04-07 17:47:07,64.2539,-15.2082,35.62,38,20,17.27
162,Omboue,GA,2022-04-07 17:47:08,-1.5746,9.2618,79.68,86,96,9.28
163,Surab,PK,2022-04-07 17:47:08,28.4914,66.2585,68.31,19,0,4.23
164,Airai,TL,2022-04-07 17:47:09,-8.9266,125.4092,59.31,88,95,2.46
165,Lincoln,US,2022-04-07 17:45:03,40.8,-96.667,44.51,57,100,37.98
166,Cockburn Town,TC,2022-04-07 17:47:10,21.4612,-71.1419,78.66,76,9,19.69
167,Xuchang,CN,2022-04-07 17:47:10,34.0167,113.8167,56.62,90,0,6.24
168,Nabire,ID,2022-04-07 17:42:48,-3.3667,135.4833,76.06,91,100,2.77
169,Saint George,US,2022-04-07 17:42:31,37.1041,-113.5841,65.43,12,0,5.75
170,La Ronge,CA,2022-04-07 17:45:43,55.1001,-105.2842,37.65,56,0,3.44
171,Broome,US,2022-04-07 17:47:12,42.2506,-75.833,49.19,82,100,14.97
172,Abu Samrah,SY,2022-04-07 17:47:12,35.3029,37.1841,63.3,54,71,9.95
173,Bredasdorp,ZA,2022-04-07 17:44:35,-34.5322,20.0403,57.49,70,45,5.61
174,Hastings,GB,2022-04-07 17:47:13,50.8552,0.5729,53.35,42,30,27.25
175,Tongliao,CN,2022-04-07 17:47:14,43.6125,122.2653,46.2,36,13,21.74
176,Sesheke,ZM,2022-04-07 17:47:14,-17.4759,24.2968,75.74,51,27,4.05
177,Cerritos,US,2022-04-07 17:46:56,33.8583,-118.0648,94.73,17,0,7.0
178,Constitucion,CL,2022-04-07 17:47:16,-35.3333,-72.4167,67.12,64,10,16.28
179,Comodoro Rivadavia,AR,2022-04-07 17:46:03,-45.8667,-67.5,51.66,93,100,11.5
180,Korla,CN,2022-04-07 17:48:17,41.7597,86.1469,66.18,18,0,3.47
181,Arraial Do Cabo,BR,2022-04-07 17:48:18,-22.9661,-42.0278,80.56,69,20,11.5
182,Topsham,US,2022-04-07 17:48:18,43.9276,-69.9759,49.75,74,100,5.01
183,Semey,KZ,2022-04-07 17:48:19,50.4111,80.2275,44.87,76,100,6.13
184,Paamiut,GL,2022-04-07 17:48:19,61.994,-49.6678,26.58,79,83,21.68
185,Samfya,ZM,2022-04-07 17:48:20,-11.3649,29.5565,67.51,87,100,4.25
186,Andros Town,BS,2022-04-07 17:48:20,24.7,-77.7667,84.16,60,55,18.12
187,Ribeira Grande,PT,2022-04-07 17:48:21,38.5167,-28.7,64.8,82,40,18.41
188,Aswan,EG,2022-04-07 17:48:21,24.0934,32.907,99.7,8,3,17.27
189,Luanda,AO,2022-04-07 17:44:58,-8.8368,13.2343,77.54,85,18,12.57
190,Kahului,US,2022-04-07 17:48:22,20.8947,-156.47,74.84,70,0,16.11
191,Avera,US,2022-04-07 17:48:22,33.194,-82.5271,70.92,42,88,15.26
