City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Kabare,CD,-2.4683,28.8242,60.78,93,94,1.05,light rain
148,Santarem,BR,-2.4431,-54.7083,86.13,66,20,10.36,few clouds
149,Ardalstangen,NO,61.2371,7.6983,34.29,91,61,1.68,broken clouds
150,Vostok,RU,46.4856,135.8833,30.02,95,98,3.04,overcast clouds
151,Atuona,PF,-9.8,-139.0333,79.47,78,90,18.12,overcast clouds
152,Barrow,US,71.2906,-156.7887,3.52,90,100,17.76,overcast clouds
153,Kavieng,PG,-2.5744,150.7967,79.47,80,100,8.86,light rain
154,Buala,SB,-8.145,159.5921,80.98,81,88,9.08,overcast clouds
155,Yagunovskiy,RU,55.2828,85.978,33.24,86,40,15.99,scattered clouds
156,Maragogi,BR,-9.0122,-35.2225,81.18,77,45,8.41,scattered clouds
157,Connersville,US,39.6412,-85.1411,46.96,74,100,7.0,light rain
158,Evensk,RU,61.95,159.2333,7.52,95,99,7.38,overcast clouds
159,San Patricio,US,28.017,-97.5169,82.17,18,0,3.58,clear sky
160,Ambatondrazaka,MG,-17.8333,48.4167,68.81,92,93,4.29,overcast clouds
161,Tahta,EG,26.7693,31.5021,82.72,20,0,17.92,clear sky
162,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,80,40,10.36,scattered clouds
163,Kinshasa,CD,-4.3246,15.3215,81.75,70,9,2.1,clear sky
164,Vestmanna,FO,62.1564,-7.1664,32.92,86,75,16.11,light snow
165,Malmesbury,ZA,-33.4608,18.7271,60.78,59,0,10.29,clear sky
166,Sayyan,YE,15.1718,44.3244,60.28,24,0,2.42,clear sky
167,Novikovo,RU,51.1537,37.8879,51.82,86,100,6.62,overcast clouds
168,Wanning,CN,18.8003,110.3967,66.13,80,96,5.26,overcast clouds
169,Viedma,AR,-40.8135,-62.9967,67.21,62,37,11.72,scattered clouds
170,West Wendover,US,40.7391,-114.0733,62.82,14,67,5.86,broken clouds
171,Clyde River,CA,70.4692,-68.5914,5.23,85,0,9.22,mist
172,Grindavik,IS,63.8424,-22.4338,37.35,48,0,4.61,clear sky
173,Coihaique,CL,-45.5752,-72.0662,57.15,62,20,4.61,few clouds
174,Velyka Bahachka,UA,49.7912,33.7226,46.33,79,51,6.73,broken clouds
175,Vanavara,RU,60.34,102.2797,8.94,98,81,1.54,broken clouds
176,Kikwit,CD,-5.041,18.8162,75.9,77,88,1.81,overcast clouds
177,Ilulissat,GL,69.2167,-51.1,14.47,87,100,1.63,overcast clouds
178,Beringovskiy,RU,63.05,179.3167,2.35,88,100,4.5,overcast clouds
179,Sistranda,NO,63.7256,8.834,33.76,59,100,26.44,overcast clouds
180,Grand Gaube,MU,-20.0064,57.6608,77.38,86,37,5.99,scattered clouds
181,Grand-Lahou,CI,5.1367,-5.0242,81.48,82,100,10.56,overcast clouds
182,Tual,ID,-5.6667,132.75,82.06,77,100,11.01,overcast clouds
183,Pimentel,PE,-6.8367,-79.9342,79.09,57,0,11.5,clear sky
184,Labuhan,ID,-6.8844,112.2051,77.09,88,75,9.93,broken clouds
185,Flinders,AU,-34.5833,150.8552,65.37,91,73,3.0,broken clouds
186,Jacareacanga,BR,-6.2222,-57.7528,83.14,88,100,2.59,overcast clouds
187,Zachepylivka,UA,49.1939,35.2394,50.11,92,26,11.12,scattered clouds
188,Lovington,US,32.944,-103.3485,64.33,12,0,1.01,clear sky
189,Pacific Grove,US,36.6177,-121.9166,81.25,68,31,7.0,scattered clouds
190,Thaba-Tseka,LS,-29.522,28.6084,44.69,82,100,4.21,overcast clouds
