City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Sao Miguel Do Araguaia,BR,88.21,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
376,Munirabad,IN,87.26,overcast clouds,15.3333,76.3333,MANJU DJ
378,Katobu,ID,75.4,overcast clouds,-4.9408,122.5276,La Ode Husein
380,Kieta,PG,79.3,light rain,-6.2167,155.6333,Uruna Bay Retreat
388,Baiao,BR,76.26,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
391,Bandarbeyla,SO,80.67,few clouds,9.4942,50.8122,JABIR HOTEL
393,Saint George,US,78.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
397,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
401,Dabakala,CI,87.94,overcast clouds,8.3667,-4.4333,Hôtel Campement
411,Limay,PH,75.34,overcast clouds,14.5333,120.55,Man's Forest Inland Resort a.k.a Manansala Resort
417,Dimbokro,CI,82.96,light rain,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
418,Basco,PH,75.51,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
420,Mandeville,JM,80.2,overcast clouds,18.0417,-77.5071,Mandeville Hotel
422,Maceio,BR,82.27,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
426,Sa Kaeo,TH,77.52,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
429,Davila,PH,77.47,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
430,The Valley,AI,84.06,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
431,Sabha,LY,78.31,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
433,Tabou,CI,82.06,overcast clouds,4.423,-7.3528,hotêl doufoulougou
439,Axim,GH,82.09,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
442,Minab,IR,82.31,clear sky,27.1467,57.0801,Bam campground
444,Kutum,SD,83.01,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
448,Chicontepec,MX,79.12,overcast clouds,20.9667,-98.1667,HOTEL LA GLORIETA
449,Tucupita,VE,86.63,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
450,Coihueco,CL,79.56,few clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
451,Bambanglipuro,ID,76.41,overcast clouds,-7.95,110.2833,Puri Brata
453,Cayenne,GF,82.44,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
456,Bela,IN,83.32,clear sky,25.9333,81.9833,Raj Bhawan
457,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
458,Barhi,IN,84.83,clear sky,23.9,80.8,Umesh Kevat
460,Sawakin,SD,81.21,clear sky,19.1059,37.3321,فندق الدويم
465,Alta Floresta,BR,83.08,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
467,Issia,CI,84.54,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
477,Moron,AR,78.94,few clouds,-34.6534,-58.6198,Hotel Morón
489,Isangel,VU,79.77,overcast clouds,-19.55,169.2667,Tanna Lodge
493,Kut Chap,TH,75.24,few clouds,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
494,Umm Lajj,SA,84.07,clear sky,25.0213,37.2685,Moon light Furnished Units
496,Paita,PE,77.31,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
498,Anton Lizardo,MX,81.21,broken clouds,19.05,-95.9833,Hotel CocoAventura
503,Sokoni,TZ,83.82,clear sky,-6.4333,39.55,Ujamaa Beach Resort
504,Trinidad,BO,88.23,overcast clouds,-14.8333,-64.9,Hotel Piesta
505,Tafo,GH,77.27,heavy intensity rain,6.7345,-1.6127,Afriyie Inn Hotel
516,Dwarka,IN,81.09,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
522,Bosaso,SO,80.67,overcast clouds,11.2842,49.1816,Red Sea Hotel
